followers_count,following_count,tweet_count,listed_count,date
87799172,49,59152,112597,2022-12-02-09
87799812,49,59152,112600,2022-12-02-10
87800365,49,59152,112599,2022-12-02-11
87797396,49,59152,112598,2022-12-02-12
87797016,49,59153,112561,2022-12-02-13
87799225,49,59152,112603,2022-12-02-14
87800251,49,59152,112605,2022-12-02-15
87800941,49,59152,112602,2022-12-02-16
87801866,49,59152,112599,2022-12-02-17
87802422,49,59152,112598,2022-12-02-18
87801998,49,59152,112597,2022-12-02-19
87800678,49,59153,112562,2022-12-02-20
87802976,49,59152,112594,2022-12-02-21
87804042,49,59152,112596,2022-12-02-22
87802291,49,59153,112556,2022-12-02-23
87806240,49,59152,112590,2022-12-03-00
87806562,49,59153,112553,2022-12-03-01
87809557,49,59152,112590,2022-12-03-02
87809179,49,59153,112557,2022-12-03-03
87812637,49,59152,112593,2022-12-03-04
87813215,49,59152,112593,2022-12-03-05
87813319,49,59152,112595,2022-12-03-06
87814332,49,59152,112591,2022-12-03-07
87815083,49,59152,112594,2022-12-03-08
87815786,49,59152,112591,2022-12-03-09
87816289,49,59152,112594,2022-12-03-10
87814924,49,59153,112548,2022-12-03-11
87817537,49,59152,112585,2022-12-03-12
87816851,49,59153,112545,2022-12-03-13
87819966,49,59152,112584,2022-12-03-14
87821550,49,59152,112587,2022-12-03-15
87823034,49,59152,112585,2022-12-03-16
87824587,49,59152,112590,2022-12-03-17
87826108,49,59152,112593,2022-12-03-18
87827435,49,59151,112596,2022-12-03-19
87828697,49,59151,112593,2022-12-03-20
87829751,49,59151,112591,2022-12-03-21
87831101,49,59151,112588,2022-12-03-22
87832428,49,59151,112591,2022-12-03-23
87833997,49,59151,112596,2022-12-04-00
87835397,49,59151,112599,2022-12-04-01
87836097,49,59151,112594,2022-12-04-02
87835205,49,59152,112556,2022-12-04-03
87838188,49,59151,112593,2022-12-04-04
87836657,49,59152,112556,2022-12-04-05
87839132,49,59151,112589,2022-12-04-06
87839094,49,59151,112587,2022-12-04-07
87837705,49,59152,112539,2022-12-04-08
87838311,49,59152,112541,2022-12-04-09
87840771,49,59151,112577,2022-12-04-10
87839143,49,59152,112543,2022-12-04-11
87841379,49,59151,112577,2022-12-04-12
87840432,49,59152,112540,2022-12-04-13
87843314,49,59151,112581,2022-12-04-14
87844623,49,59151,112583,2022-12-04-15
87845380,49,59151,112584,2022-12-04-16
87844529,49,59152,112549,2022-12-04-17
87847317,49,59151,112587,2022-12-04-18
87848275,49,59151,112593,2022-12-04-19
87849045,49,59151,112590,2022-12-04-20
87847935,49,59152,112552,2022-12-04-21
87848539,49,59152,112550,2022-12-04-22
87851354,49,59151,112596,2022-12-04-23
87851938,49,59151,112591,2022-12-05-00
87852738,49,59151,112594,2022-12-05-01
87853467,49,59151,112594,2022-12-05-02
87852610,49,59151,1,2022-12-05-03
87853328,49,59151,5,2022-12-05-04
87853062,49,59151,112591,2022-12-05-05
87853587,49,59151,112592,2022-12-05-06
87854296,49,59151,112592,2022-12-05-07
87852876,49,59152,112551,2022-12-05-08
87854944,49,59151,112591,2022-12-05-09
87855278,49,59151,112590,2022-12-05-10
87853257,49,59152,112554,2022-12-05-11
87855864,49,59151,6,2022-12-05-12
87856356,49,59151,112590,2022-12-05-13
87857022,49,59151,112592,2022-12-05-14
87856731,49,59151,112597,2022-12-05-15
87857423,49,59151,112599,2022-12-05-16
87856065,49,59152,112558,2022-12-05-17
87858659,49,59151,112600,2022-12-05-18
87857172,49,59152,112561,2022-12-05-19
87859547,49,59151,112598,2022-12-05-20
87859678,49,59151,112600,2022-12-05-21
87860102,49,59151,112601,2022-12-05-22
87860252,49,59151,112604,2022-12-05-23
87860807,49,59151,112601,2022-12-06-00
87860665,49,59151,112677,2022-12-06-01
87860799,49,59151,112739,2022-12-06-02
87861091,49,59151,112740,2022-12-06-03
87861523,49,59151,112732,2022-12-06-04
87860635,49,59151,112734,2022-12-06-05
87860348,49,59151,112738,2022-12-06-06
87860553,49,59151,112732,2022-12-06-07
87858883,49,59152,112691,2022-12-06-08
87860624,49,59151,112732,2022-12-06-09
87860537,49,59151,112731,2022-12-06-10
87860700,49,59151,0,2022-12-06-11
87860683,49,59151,0,2022-12-06-12
87861006,49,59151,112732,2022-12-06-13
87859278,49,59152,112690,2022-12-06-14
87861352,49,59151,112728,2022-12-06-15
87859524,49,59152,112689,2022-12-06-16
87861772,49,59151,112729,2022-12-06-17
87859941,49,59152,112693,2022-12-06-18
